PassengerId,Survived,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked_C,Embarked_S,Embarked_Q,Pclass_1,Pclass_2,Pclass_3,with_p
1,0,0,22,1,0,7.25,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
2,1,1,38,1,0,71.2833,C,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1
3,1,1,26,0,0,7.925,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
4,1,1,35,1,0,53.1,C,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1
5,0,0,35,0,0,8.05,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
6,0,0,25.14061972,0,0,8.4583,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0
7,0,0,54,0,0,51.8625,E,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0
8,0,0,2,3,1,21.075,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,4
9,1,1,27,0,2,11.1333,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
10,1,1,14,1,0,30.0708,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1
11,1,1,4,1,1,16.7,G,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
12,1,1,58,0,0,26.55,C,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0
13,0,0,20,0,0,8.05,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
14,0,0,39,1,5,31.275,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6
15,0,1,14,0,0,7.8542,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
16,1,1,55,0,0,16,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
17,0,0,2,4,1,29.125,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,5
18,1,0,29.87763006,0,0,13,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
19,0,1,31,1,0,18,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1
20,1,1,25.14061972,0,0,7.225,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0
21,0,0,35,0,0,26,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
22,1,0,34,0,0,13,D,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
23,1,1,15,0,0,8.0292,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0
24,1,0,28,0,0,35.5,A,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0
25,0,1,8,3,1,21.075,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,4
26,1,1,38,1,5,31.3875,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6
27,0,0,25.14061972,0,0,7.225,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0
28,0,0,19,3,2,263,C,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,5
29,1,1,25.14061972,0,0,7.8792,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0
30,0,0,25.14061972,0,0,7.8958,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
31,0,0,40,0,0,27.7208,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0
32,1,1,38.23344086,1,0,146.5208,B,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1
33,1,1,25.14061972,0,0,7.75,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0
34,0,0,66,0,0,10.5,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0
35,0,0,28,1,0,82.1708,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1
36,0,0,42,1,0,52,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1
37,1,0,25.14061972,0,0,7.2292,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0
38,0,0,21,0,0,8.05,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0
